character	token	ferquency(per million)	total coverage rate(%)
瞔	2	0.00105 	99.99990 
鸅	2	0.00105 	99.99990 
鰂	2	0.00105 	99.99990 
熷	2	0.00105 	99.99990 
皻	2	0.00105 	99.99990 
鉙	2	0.00105 	99.99990 
飦	2	0.00105 	99.99990 
黵	2	0.00105 	99.99990 
輚	2	0.00105 	99.99990 
涱	2	0.00105 	99.99990 
鉊	2	0.00105 	99.99990 
肁	2	0.00105 	99.99990 
矺	2	0.00105 	99.99990 
粍	2	0.00105 	99.99990 
輒	2	0.00105 	99.99990 
銸	2	0.00105 	99.99990 
讁	2	0.00105 	99.99990 
遉	2	0.00105 	99.99990 
獉	2	0.00105 	99.99990 
縝	2	0.00105 	99.99990 
揕	2	0.00105 	99.99990 
蜄	2	0.00105 	99.99990 
鴆	2	0.00105 	99.99990 
黮	2	0.00105 	99.99990 
佂	2	0.00105 	99.99990 
汥	2	0.00105 	99.99990 
徔	2	0.00105 	99.99990 
墌	2	0.00105 	99.99990 
馽	2	0.00105 	99.99990 
縶	2	0.00105 	99.99990 
蹢	2	0.00105 	99.99990 
帋	2	0.00105 	99.99990 
庤	2	0.00105 	99.99990 
偫	2	0.00105 	99.99990 
紩	2	0.00105 	99.99990 
幟	2	0.00105 	99.99990 
瓆	2	0.00105 	99.99990 
騺	2	0.00105 	99.99990 
鑕	2	0.00105 	99.99990 
汷	2	0.00105 	99.99990 
蔠	2	0.00105 	99.99990 
鼨	2	0.00105 	99.99991 
祍	2	0.00105 	99.99991 
喌	2	0.00105 	99.99991 
荮	2	0.00105 	99.99991 
噣	2	0.00105 	99.99991 
籕	2	0.00105 	99.99991 
櫫	2	0.00105 	99.99991 
茿	2	0.00105 	99.99991 
竚	2	0.00105 	99.99991 
膼	2	0.00105 	99.99991 
諯	2	0.00105 	99.99991 
囀	2	0.00105 	99.99991 
縋	2	0.00105 	99.99991 
醊	2	0.00105 	99.99991 
埻	2	0.00105 	99.99991 
蠿	2	0.00105 	99.99991 
諑	2	0.00105 	99.99991 
禌	2	0.00105 	99.99991 
頾	2	0.00105 	99.99991 
杍	2	0.00105 	99.99991 
胏	2	0.00105 	99.99991 
腙	2	0.00105 	99.99991 
朡	2	0.00105 	99.99991 
翪	2	0.00105 	99.99991 
搃	2	0.00105 	99.99991 
摠	2	0.00105 	99.99991 
縂	2	0.00105 	99.99991 
郰	2	0.00105 	99.99991 
哫	2	0.00105 	99.99991 
崪	2	0.00105 	99.99991 
劗	2	0.00105 	99.99991 
噿	2	0.00105 	99.99991 
鷷	2	0.00105 	99.99991 
椊	2	0.00105 	99.99991 
岝	2	0.00105 	99.99991 
袏	2	0.00105 	99.99991 
厑	1	0.00053 	99.99991 
濭	1	0.00053 	99.99991 
伌	1	0.00053 	99.99991 
壒	1	0.00053 	99.99991 
嬡	1	0.00053 	99.99991 
懓	1	0.00053 	99.99991 
譺	1	0.00053 	99.99991 
痷	1	0.00053 	99.99991 
誝	1	0.00053 	99.99991 
韽	1	0.00053 	99.99991 
隌	1	0.00053 	99.99991 
厫	1	0.00053 	99.99991 
翶	1	0.00053 	99.99991 
襖	1	0.00053 	99.99991 
朳	1	0.00053 	99.99991 
玐	1	0.00053 	99.99991 
夿	1	0.00053 	99.99991 
壩	1	0.00053 	99.99991 
欛	1	0.00053 	99.99991 
鞁	1	0.00053 	99.99991 
螁	1	0.00053 	99.99991 
螌	1	0.00053 	99.99991 
姅	1	0.00053 	99.99991 
幚	1	0.00053 	99.99991 
鎊	1	0.00053 	99.99991 
勹	1	0.00053 	99.99991 
闁	1	0.00053 	99.99991 
鴇	1	0.00053 	99.99991 
袌	1	0.00053 	99.99991 
鉋	1	0.00053 	99.99991 
靤	1	0.00053 	99.99991 
髱	1	0.00053 	99.99991 
虣	1	0.00053 	99.99991 
喺	1	0.00053 	99.99991 
昁	1	0.00053 	99.99991 
偹	1	0.00053 	99.99991 
軰	1	0.00053 	99.99991 
渀	1	0.00053 	99.99991 
錛	1	0.00053 	99.99991 
捹	1	0.00053 	99.99991 
鎞	1	0.00053 	99.99991 
佊	1	0.00053 	99.99991 
胇	1	0.00053 	99.99991 
梐	1	0.00053 	99.99991 
湢	1	0.00053 	99.99991 
彃	1	0.00053 	99.99991 
熚	1	0.00053 	99.99991 
幤	1	0.00053 	99.99991 
獘	1	0.00053 	99.99991 
牑	1	0.00053 	99.99991 
炞	1	0.00053 	99.99991 
峅	1	0.00053 	99.99991 
辡	1	0.00053 	99.99991 
艑	1	0.00053 	99.99991 
淲	1	0.00053 	99.99991 
瀌	1	0.00053 	99.99991 
飇	1	0.00053 	99.99991 
龞	1	0.00053 	99.99991 
襒	1	0.00053 	99.99991 
儐	1	0.00053 	99.99991 
臏	1	0.00053 	99.99991 
仌	1	0.00053 	99.99991 
眪	1	0.00053 	99.99991 
窉	1	0.00053 	99.99991 
棅	1	0.00053 	99.99991 
垪	1	0.00053 	99.99991 
傡	1	0.00053 	99.99991 
誁	1	0.00053 	99.99991 
僠	1	0.00053 	99.99991 
鈸	1	0.00053 	99.99991 
壆	1	0.00053 	99.99991 
襏	1	0.00053 	99.99991 
犦	1	0.00053 	99.99991 
蚾	1	0.00053 	99.99991 
轐	1	0.00053 	99.99991 
踄	1	0.00053 	99.99991 
篰	1	0.00053 	99.99991 
倸	1	0.00053 	99.99991 
縩	1	0.00053 	99.99991 
叄	1	0.00053 	99.99991 
螥	1	0.00053 	99.99991 
賶	1	0.00053 	99.99991 
曺	1	0.00053 	99.99991 
蓸	1	0.00053 	99.99991 
襙	1	0.00053 	99.99991 
畟	1	0.00053 	99.99991 
萗	1	0.00053 	99.99991 
膥	1	0.00053 	99.99991 
扱	1	0.00053 	99.99991 
臿	1	0.00053 	99.99991 
偛	1	0.00053 	99.99991 
艖	1	0.00053 	99.99991 
祡	1	0.00053 	99.99991 
裧	1	0.00053 	99.99991 
獑	1	0.00053 	99.99991 
毚	1	0.00053 	99.99991 
鄽	1	0.00053 	99.99991 
儳	1	0.00053 	99.99991 
壥	1	0.00053 	99.99991 
纒	1	0.00053 	99.99991 
剗	1	0.00053 	99.99991 
繟	1	0.00053 	99.99991 
摲	1	0.00053 	99.99991 
椙	1	0.00053 	99.99991 
镸	1	0.00053 	99.99991 
甞	1	0.00053 	99.99991 
蟐	1	0.00053 	99.99991 
厰	1	0.00053 	99.99991 
韔	1	0.00053 	99.99991 
樔	1	0.00053 	99.99991 
仯	1	0.00053 	99.99991 
觘	1	0.00053 	99.99991 
唓	1	0.00053 	99.99991 
奲	1	0.00053 	99.99991 
揨	1	0.00053 	99.99991 
蔯	1	0.00053 	99.99991 
贂	1	0.00053 	99.99991 
趂	1	0.00053 	99.99991 
爯	1	0.00053 	99.99992 
赬	1	0.00053 	99.99992 
檉	1	0.00053 	99.99992 
鏿	1	0.00053 	99.99992 
脭	1	0.00053 	99.99992 
徎	1	0.00053 	99.99992 
悜	1	0.00053 	99.99992 
彨	1	0.00053 	99.99992 
噄	1	0.00053 	99.99992 
攡	1	0.00053 	99.99992 
耛	1	0.00053 	99.99992 
肔	1	0.00053 	99.99992 
拸	1	0.00053 	99.99992 
灻	1	0.00053 	99.99992 
憏	1	0.00053 	99.99992 
翤	1	0.00053 	99.99992 
趩	1	0.00053 	99.99992 
饎	1	0.00053 	99.99992 
浺	1	0.00053 	99.99992 
緟	1	0.00053 	99.99992 
揰	1	0.00053 	99.99992 
銃	1	0.00053 	99.99992 
儔	1	0.00053 	99.99992 
疇	1	0.00053 	99.99992 
躊	1	0.00053 	99.99992 
偢	1	0.00053 	99.99992 
殠	1	0.00053 	99.99992 
齼	1	0.00053 	99.99992 
竌	1	0.00053 	99.99992 
欪	1	0.00053 	99.99992 
絀	1	0.00053 	99.99992 
傗	1	0.00053 	99.99992 
鄐	1	0.00053 	99.99992 
滀	1	0.00053 	99.99992 
儊	1	0.00053 	99.99992 
圌	1	0.00053 	99.99992 
猭	1	0.00053 	99.99992 
暷	1	0.00053 	99.99992 
荈	1	0.00053 	99.99992 
牎	1	0.00053 	99.99992 
傸	1	0.00053 	99.99992 
萅	1	0.00053 	99.99992 
暙	1	0.00053 	99.99992 
瑃	1	0.00053 	99.99992 
箺	1	0.00053 	99.99992 
櫄	1	0.00053 	99.99992 
陙	1	0.00053 	99.99992 
湻	1	0.00053 	99.99992 
偆	1	0.00053 	99.99992 
嚽	1	0.00053 	99.99992 
鴜	1	0.00053 	99.99992 
礠	1	0.00053 	99.99992 
佌	1	0.00053 	99.99992 
皉	1	0.00053 	99.99992 
忩	1	0.00053 	99.99992 
徖	1	0.00053 	99.99992 
謥	1	0.00053 	99.99992 
瘄	1	0.00053 	99.99992 
躥	1	0.00053 	99.99992 
欑	1	0.00053 	99.99992 
篹	1	0.00053 	99.99992 
槯	1	0.00053 	99.99992 
磪	1	0.00053 	99.99992 
翆	1	0.00053 	99.99992 
臎	1	0.00053 	99.99992 
韃	1	0.00053 	99.99992 
軑	1	0.00053 	99.99992 
軚	1	0.00053 	99.99992 
柦	1	0.00053 	99.99992 
禫	1	0.00053 	99.99992 
饏	1	0.00053 	99.99992 
讜	1	0.00053 	99.99992 
氹	1	0.00053 	99.99992 
婸	1	0.00053 	99.99992 
碭	1	0.00053 	99.99992 
簜	1	0.00053 	99.99992 
闣	1	0.00053 	99.99992 
屶	1	0.00053 	99.99992 
翢	1	0.00053 	99.99992 
衜	1	0.00053 	99.99992 
燾	1	0.00053 	99.99992 
揼	1	0.00053 	99.99992 
埞	1	0.00053 	99.99992 
鏑	1	0.00053 	99.99992 
唙	1	0.00053 	99.99992 
靮	1	0.00053 	99.99992 
豴	1	0.00053 	99.99992 
鯳	1	0.00053 	99.99992 
弚	1	0.00053 	99.99992 
坔	1	0.00053 	99.99992 
俤	1	0.00053 	99.99992 
埊	1	0.00053 	99.99992 
啇	1	0.00053 	99.99992 
媂	1	0.00053 	99.99992 
墑	1	0.00053 	99.99992 
摕	1	0.00053 	99.99992 
傎	1	0.00053 	99.99992 
顚	1	0.00053 	99.99992 
驔	1	0.00053 	99.99992 
扚	1	0.00053 	99.99992 
蓧	1	0.00053 	99.99992 
畳	1	0.00053 	99.99992 
殜	1	0.00053 	99.99992 
艓	1	0.00053 	99.99992 
氎	1	0.00053 	99.99992 
嚸	1	0.00053 	99.99992 
薡	1	0.00053 	99.99992 
椗	1	0.00053 	99.99992 
聣	1	0.00053 	99.99992 
錠	1	0.00053 	99.99992 
菄	1	0.00053 	99.99992 
鯟	1	0.00053 	99.99992 
諌	1	0.00053 	99.99992 
霘	1	0.00053 	99.99992 
吺	1	0.00053 	99.99992 
阧	1	0.00053 	99.99992 
鈄	1	0.00053 	99.99992 
酘	1	0.00053 	99.99992 
鋀	1	0.00053 	99.99992 
斣	1	0.00053 	99.99992 
醏	1	0.00053 	99.99992 
櫝	1	0.00053 	99.99992 
殰	1	0.00053 	99.99992 
韇	1	0.00053 	99.99992 
黷	1	0.00053 	99.99992 
帾	1	0.00053 	99.99992 
殬	1	0.00053 	99.99992 
鍍	1	0.00053 	99.99992 
塅	1	0.00053 	99.99992 
磓	1	0.00053 	99.99992 
墪	1	0.00053 	99.99992 
伅	1	0.00053 	99.99992 
踲	1	0.00053 	99.99992 
敪	1	0.00053 	99.99992 
挅	1	0.00053 	99.99992 
陊	1	0.00053 	99.99992 
桗	1	0.00053 	99.99992 
跥	1	0.00053 	99.99992 
妿	1	0.00053 	99.99992 
魤	1	0.00053 	99.99992 
砈	1	0.00053 	99.99992 
戹	1	0.00053 	99.99992 
阸	1	0.00053 	99.99992 
呝	1	0.00053 	99.99992 
砐	1	0.00053 	99.99992 
悪	1	0.00053 	99.99992 
遻	1	0.00053 	99.99992 
顎	1	0.00053 	99.99992 
鶚	1	0.00053 	99.99992 
奀	1	0.00053 	99.99992 
仒	1	0.00053 	99.99992 
乻	1	0.00053 	99.99992 
旕	1	0.00053 	99.99992 
峏	1	0.00053 	99.99992 
洏	1	0.00053 	99.99992 
鮞	1	0.00053 	99.99992 
誀	1	0.00053 	99.99992 
疺	1	0.00053 	99.99992 
瞂	1	0.00053 	99.99992 
罸	1	0.00053 	99.99992 
琺	1	0.00053 	99.99992 
犿	1	0.00053 	99.99992 
嬏	1	0.00053 	99.99992 
憣	1	0.00053 	99.99992 
颿	1	0.00053 	99.99992 
舤	1	0.00053 	99.99992 
緐	1	0.00053 	99.99992 
膰	1	0.00053 	99.99992 
薠	1	0.00053 	99.99992 
羳	1	0.00053 	99.99992 
鷭	1	0.00053 	99.99992 
払	1	0.00053 	99.99992 
滼	1	0.00053 	99.99992 
嬔	1	0.00053 	99.99992 
旊	1	0.00053 	99.99992 
裶	1	0.00053 	99.99992 
誹	1	0.00053 	99.99992 
昲	1	0.00053 	99.99992 
疿	1	0.00053 	99.99992 
萉	1	0.00053 	99.99992 
廃	1	0.00053 	99.99992 
鈖	1	0.00053 	99.99992 
蒶	1	0.00053 	99.99992 
幩	1	0.00053 	99.99992 
魵	1	0.00053 	99.99992 
鼖	1	0.00053 	99.99992 
豶	1	0.00053 	99.99992 
弅	1	0.00053 	99.99992 
琒	1	0.00053 	99.99992 
灃	1	0.00053 	99.99992 
麷	1	0.00053 	99.99993 
浲	1	0.00053 	99.99993 
摓	1	0.00053 	99.99993 
覂	1	0.00053 	99.99993 
瓰	1	0.00053 	99.99993 
坲	1	0.00053 	99.99993 
麩	1	0.00053 	99.99993 
懯	1	0.00053 	99.99993 
畐	1	0.00053 	99.99993 
紱	1	0.00053 	99.99993 
紼	1	0.00053 	99.99993 
葍	1	0.00053 	99.99993 
鳧	1	0.00053 	99.99993 
踾	1	0.00053 	99.99993 
癁	1	0.00053 	99.99993 
俌	1	0.00053 	99.99993 
捬	1	0.00053 	99.99993 
盙	1	0.00053 	99.99993 
緮	1	0.00053 	99.99993 
鍑	1	0.00053 	99.99993 
猤	1	0.00053 	99.99993 
侅	1	0.00053 	99.99993 
鎅	1	0.00053 	99.99993 
迀	1	0.00053 	99.99993 
尶	1	0.00053 	99.99993 
鱤	1	0.00053 	99.99993 
羙	1	0.00053 	99.99993 
夰	1	0.00053 	99.99993 
鎬	1	0.00053 	99.99993 
峼	1	0.00053 	99.99993 
戓	1	0.00053 	99.99993 
謌	1	0.00053 	99.99993 
呄	1	0.00053 	99.99993 
佮	1	0.00053 	99.99993 
愅	1	0.00053 	99.99993 
鉻	1	0.00053 	99.99993 
焿	1	0.00053 	99.99993 
鹒	1	0.00053 	99.99993 
緪	1	0.00053 	99.99993 
峺	1	0.00053 	99.99993 
綆	1	0.00053 	99.99993 
堩	1	0.00053 	99.99993 
杛	1	0.00053 	99.99993 
碽	1	0.00053 	99.99993 
髸	1	0.00053 	99.99993 
龏	1	0.00053 	99.99993 
龔	1	0.00053 	99.99993 
拲	1	0.00053 	99.99993 
贑	1	0.00053 	99.99993 
韝	1	0.00053 	99.99993 
耉	1	0.00053 	99.99993 
耈	1	0.00053 	99.99993 
蚼	1	0.00053 	99.99993 
茩	1	0.00053 	99.99993 
訽	1	0.00053 	99.99993 
軲	1	0.00053 	99.99993 
篐	1	0.00053 	99.99993 
鴣	1	0.00053 	99.99993 
啒	1	0.00053 	99.99993 
硲	1	0.00053 	99.99993 
糓	1	0.00053 	99.99993 
餶	1	0.00053 	99.99993 
盬	1	0.00053 	99.99993 
頋	1	0.00053 	99.99993 
錮	1	0.00053 	99.99993 
絓	1	0.00053 	99.99993 
叏	1	0.00053 	99.99993 
萖	1	0.00053 	99.99993 
鰥	1	0.00053 	99.99993 
輨	1	0.00053 	99.99993 
躀	1	0.00053 	99.99993 
摜	1	0.00053 	99.99993 
罆	1	0.00053 	99.99993 
侊	1	0.00053 	99.99993 
茪	1	0.00053 	99.99993 
銧	1	0.00053 	99.99993 
獷	1	0.00053 	99.99993 
臦	1	0.00053 	99.99993 
胿	1	0.00053 	99.99993 
亀	1	0.00053 	99.99993 
窐	1	0.00053 	99.99993 
嬀	1	0.00053 	99.99993 
陒	1	0.00053 	99.99993 
攱	1	0.00053 	99.99993 
墎	1	0.00053 	99.99993 
幗	1	0.00053 	99.99993 
咍	1	0.00053 	99.99993 
酼	1	0.00053 	99.99993 
嚡	1	0.00053 	99.99993 
谽	1	0.00053 	99.99993 
肣	1	0.00053 	99.99993 
浛	1	0.00053 	99.99993 
浫	1	0.00053 	99.99993 
豃	1	0.00053 	99.99993 
琀	1	0.00053 	99.99993 
銲	1	0.00053 	99.99993 
蚢	1	0.00053 	99.99993 
昦	1	0.00053 	99.99993 
悎	1	0.00053 	99.99993 
暭	1	0.00053 	99.99993 
皡	1	0.00053 	99.99993 
顥	1	0.00053 	99.99993 
籺	1	0.00053 	99.99993 
澕	1	0.00053 	99.99993 
魺	1	0.00053 	99.99993 
皬	1	0.00053 	99.99993 
袔	1	0.00053 	99.99993 
齃	1	0.00053 	99.99993 
靎	1	0.00053 	99.99993 
靏	1	0.00053 	99.99993 
潶	1	0.00053 	99.99993 
拫	1	0.00053 	99.99993 
鸻	1	0.00053 	99.99993 
鵆	1	0.00053 	99.99993 
叿	1	0.00053 	99.99993 
焢	1	0.00053 	99.99993 
鍧	1	0.00053 	99.99993 
綋	1	0.00053 	99.99993 
鋐	1	0.00053 	99.99993 
霟	1	0.00053 	99.99993 
黌	1	0.00053 	99.99993 
嗊	1	0.00053 	99.99993 
鍭	1	0.00053 	99.99993 
匢	1	0.00053 	99.99993 
曶	1	0.00053 	99.99993 
匫	1	0.00053 	99.99993 
嘑	1	0.00053 	99.99993 
抇	1	0.00053 	99.99993 
蔛	1	0.00053 	99.99993 
螜	1	0.00053 	99.99993 
乕	1	0.00053 	99.99993 
綔	1	0.00053 	99.99993 
嫮	1	0.00053 	99.99993 
蔰	1	0.00053 	99.99993 
槴	1	0.00053 	99.99993 
磆	1	0.00053 	99.99993 
鷨	1	0.00053 	99.99993 
杹	1	0.00053 	99.99993 
崋	1	0.00053 	99.99993 
摦	1	0.00053 	99.99993 
繣	1	0.00053 	99.99993 
瀤	1	0.00053 	99.99993 
峘	1	0.00053 	99.99993 
熿	1	0.00053 	99.99993 
韹	1	0.00053 	99.99993 
騜	1	0.00053 	99.99993 
皩	1	0.00053 	99.99993 
洃	1	0.00053 	99.99993 
詼	1	0.00053 	99.99993 
幑	1	0.00053 	99.99993 
翬	1	0.00053 	99.99993 
囘	1	0.00053 	99.99993 
囬	1	0.00053 	99.99993 
譭	1	0.00053 	99.99993 
恵	1	0.00053 	99.99993 
嘒	1	0.00053 	99.99993 
槥	1	0.00053 	99.99993 
薈	1	0.00053 	99.99993 
檜	1	0.00053 	99.99993 
篲	1	0.00053 	99.99993 
闠	1	0.00053 	99.99993 
孈	1	0.00053 	99.99993 
葷	1	0.00053 	99.99993 
睧	1	0.00053 	99.99993 
餛	1	0.00053 	99.99993 
繉	1	0.00053 	99.99993 
慁	1	0.00053 	99.99993 
諢	1	0.00053 	99.99993 
剨	1	0.00053 	99.99993 
蒦	1	0.00053 	99.99993 
曤	1	0.00053 	99.99993 
銈	1	0.00053 	99.99993 
嘰	1	0.00053 	99.99993 
憿	1	0.00053 	99.99993 
隮	1	0.00053 	99.99993 
譤	1	0.00053 	99.99993 
鐖	1	0.00053 	99.99993 
鞿	1	0.00053 	99.99993 
鑙	1	0.00053 	99.99993 
亼	1	0.00053 	99.99993 
忣	1	0.00053 	99.99993 
郆	1	0.00053 	99.99993 
皍	1	0.00053 	99.99993 
觙	1	0.00053 	99.99993 
卙	1	0.00053 	99.99993 
焏	1	0.00053 	99.99993 
趌	1	0.00053 	99.99993 
銡	1	0.00053 	99.99993 
嶯	1	0.00053 	99.99993 
轚	1	0.00053 	99.99993 
鱾	1	0.00053 	99.99994 
穖	1	0.00053 	99.99994 
芶	1	0.00053 	99.99994 
旣	1	0.00053 	99.99994 
萕	1	0.00053 	99.99994 
懻	1	0.00053 	99.99994 
泇	1	0.00053 	99.99994 
郟	1	0.00053 	99.99994 
戞	1	0.00053 	99.99994 
蛺	1	0.00053 	99.99994 
徦	1	0.00053 	99.99994 
椵	1	0.00053 	99.99994 
鉀	1	0.00053 	99.99994 
檟	1	0.00053 	99.99994 
惤	1	0.00053 	99.99994 
豜	1	0.00053 	99.99994 
蕳	1	0.00053 	99.99994 
殱	1	0.00053 	99.99994 
揃	1	0.00053 	99.99994 
弿	1	0.00053 	99.99994 
筧	1	0.00053 	99.99994 
絸	1	0.00053 	99.99994 
襇	1	0.00053 	99.99994 
襉	1	0.00053 	99.99994 
鹼	1	0.00053 	99.99994 
剱	1	0.00053 	99.99994 
袸	1	0.00053 	99.99994 
釼	1	0.00053 	99.99994 
賎	1	0.00053 	99.99994 
磵	1	0.00053 	99.99994 
螿	1	0.00053 	99.99994 
繮	1	0.00053 	99.99994 
槳	1	0.00053 	99.99994 
摾	1	0.00053 	99.99994 
嶕	1	0.00053 	99.99994 
嶣	1	0.00053 	99.99994 
笅	1	0.00053 	99.99994 
踋	1	0.00053 	99.99994 
撟	1	0.00053 	99.99994 
敽	1	0.00053 	99.99994 
訆	1	0.00053 	99.99994 
擑	1	0.00053 	99.99994 
卪	1	0.00053 	99.99994 
岊	1	0.00053 	99.99994 
嵥	1	0.00053 	99.99994 
鉣	1	0.00053 	99.99994 
頡	1	0.00053 	99.99994 
忦	1	0.00053 	99.99994 
衸	1	0.00053 	99.99994 
犗	1	0.00053 	99.99994 
繲	1	0.00053 	99.99994 
琻	1	0.00053 	99.99994 
漌	1	0.00053 	99.99994 
侭	1	0.00053 	99.99994 
僸	1	0.00053 	99.99994 
殣	1	0.00053 	99.99994 
嚍	1	0.00053 	99.99994 
藎	1	0.00053 	99.99994 
覲	1	0.00053 	99.99994 
猄	1	0.00053 	99.99994 
穽	1	0.00053 	99.99994 
幜	1	0.00053 	99.99994 
桱	1	0.00053 	99.99994 
踁	1	0.00053 	99.99994 
竸	1	0.00053 	99.99994 
侰	1	0.00053 	99.99994 
綗	1	0.00053 	99.99994 
僒	1	0.00053 	99.99994 
煛	1	0.00053 	99.99994 
乆	1	0.00053 	99.99994 
乣	1	0.00053 	99.99994 
舏	1	0.00053 	99.99994 
蜛	1	0.00053 	99.99994 
狊	1	0.00053 	99.99994 
湨	1	0.00053 	99.99994 
僪	1	0.00053 	99.99994 
蘜	1	0.00053 	99.99994 
鶪	1	0.00053 	99.99994 
擧	1	0.00053 	99.99994 
欅	1	0.00053 	99.99994 
昛	1	0.00053 	99.99994 
粔	1	0.00053 	99.99994 
耟	1	0.00053 	99.99994 
埾	1	0.00053 	99.99994 
駏	1	0.00053 	99.99994 
懅	1	0.00053 	99.99994 
颶	1	0.00053 	99.99994 
簴	1	0.00053 	99.99994 
躆	1	0.00053 	99.99994 
臇	1	0.00053 	99.99994 
獧	1	0.00053 	99.99994 
趉	1	0.00053 	99.99994 
憰	1	0.00053 	99.99994 
镼	1	0.00053 	99.99994 
蟩	1	0.00053 	99.99994 
欔	1	0.00053 	99.99994 
貜	1	0.00053 	99.99994 
蚐	1	0.00053 	99.99994 
碅	1	0.00053 	99.99994 
皹	1	0.00053 	99.99994 
銞	1	0.00053 	99.99994 
鲪	1	0.00053 	99.99994 
麏	1	0.00053 	99.99994 
燇	1	0.00053 	99.99994 
鵔	1	0.00053 	99.99994 
鵕	1	0.00053 	99.99994 
鐦	1	0.00053 	99.99994 
愾	1	0.00053 	99.99994 
歁	1	0.00053 	99.99994 
轗	1	0.00053 	99.99994 
丂	1	0.00053 	99.99994 
胢	1	0.00053 	99.99994 
樖	1	0.00053 	99.99994 
嶱	1	0.00053 	99.99994 
敤	1	0.00053 	99.99994 
娔	1	0.00053 	99.99994 
肎	1	0.00053 	99.99994 
錹	1	0.00053 	99.99994 
劥	1	0.00053 	99.99994 
挳	1	0.00053 	99.99994 
鍞	1	0.00053 	99.99994 
躻	1	0.00053 	99.99994 
彄	1	0.00053 	99.99994 
窛	1	0.00053 	99.99994 
郀	1	0.00053 	99.99994 
髖	1	0.00053 	99.99994 
筺	1	0.00053 	99.99994 
軭	1	0.00053 	99.99994 
儣	1	0.00053 	99.99994 
壙	1	0.00053 	99.99994 
黋	1	0.00053 	99.99994 
懬	1	0.00053 	99.99994 
穬	1	0.00053 	99.99994 
聧	1	0.00053 	99.99994 
巋	1	0.00053 	99.99994 
戣	1	0.00053 	99.99994 
虁	1	0.00053 	99.99994 
頍	1	0.00053 	99.99994 
蹞	1	0.00053 	99.99994 
尯	1	0.00053 	99.99994 
嘳	1	0.00053 	99.99994 
嬇	1	0.00053 	99.99994 
蜫	1	0.00053 	99.99994 
褌	1	0.00053 	99.99994 
萿	1	0.00053 	99.99994 
濶	1	0.00053 	99.99994 
藞	1	0.00053 	99.99994 
嚹	1	0.00053 	99.99994 
鯻	1	0.00053 	99.99994 
棶	1	0.00053 	99.99994 
麳	1	0.00053 	99.99994 
賚	1	0.00053 	99.99994 
頼	1	0.00053 	99.99994 
鵣	1	0.00053 	99.99994 
藾	1	0.00053 	99.99994 
灡	1	0.00053 	99.99994 
钄	1	0.00053 	99.99994 
浨	1	0.00053 	99.99994 
壏	1	0.00053 	99.99994 
爤	1	0.00053 	99.99994 
灠	1	0.00053 	99.99994 
樃	1	0.00053 	99.99994 
粩	1	0.00053 	99.99994 
浶	1	0.00053 	99.99994 
嶗	1	0.00053 	99.99994 
蟧	1	0.00053 	99.99994 
蛯	1	0.00053 	99.99994 
橑	1	0.00053 	99.99994 
軂	1	0.00053 	99.99994 
阞	1	0.00053 	99.99994 
蔂	1	0.00053 	99.99994 
樏	1	0.00053 	99.99994 
櫑	1	0.00053 	99.99994 
蠝	1	0.00053 	99.99994 
頪	1	0.00053 	99.99994 
錑	1	0.00053 	99.99994 
脷	1	0.00053 	99.99994 
筣	1	0.00053 	99.99994 
盠	1	0.00053 	99.99994 
嚟	1	0.00053 	99.99994 
邌	1	0.00053 	99.99994 
鑗	1	0.00053 	99.99994 
驪	1	0.00053 	99.99994 
鸝	1	0.00053 	99.99994 
峛	1	0.00053 	99.99994 
朸	1	0.00053 	99.99994 
悷	1	0.00053 	99.99994 
蛠	1	0.00053 	99.99994 
鉝	1	0.00053 	99.99994 
蜧	1	0.00053 	99.99995 
巁	1	0.00053 	99.99995 
礪	1	0.00053 	99.99995 
酈	1	0.00053 	99.99995 
奩	1	0.00053 	99.99995 
覝	1	0.00053 	99.99995 
噒	1	0.00053 	99.99995 
聨	1	0.00053 	99.99995 
濓	1	0.00053 	99.99995 
蹥	1	0.00053 	99.99995 
嬚	1	0.00053 	99.99995 
裲	1	0.00053 	99.99995 
湸	1	0.00053 	99.99995 
煷	1	0.00053 	99.99995 
屪	1	0.00053 	99.99995 
豂	1	0.00053 	99.99995 
爎	1	0.00053 	99.99995 
尦	1	0.00053 	99.99995 
劽	1	0.00053 	99.99995 
猟	1	0.00053 	99.99995 
脟	1	0.00053 	99.99995 
暽	1	0.00053 	99.99995 
繗	1	0.00053 	99.99995 
翷	1	0.00053 	99.99995 
壣	1	0.00053 	99.99995 
懍	1	0.00053 	99.99995 
悋	1	0.00053 	99.99995 
疄	1	0.00053 	99.99995 
藺	1	0.00053 	99.99995 
刢	1	0.00053 	99.99995 
姈	1	0.00053 	99.99995 
彾	1	0.00053 	99.99995 
砱	1	0.00053 	99.99995 
紷	1	0.00053 	99.99995 
詅	1	0.00053 	99.99995 
裬	1	0.00053 	99.99995 
綾	1	0.00053 	99.99995 
欞	1	0.00053 	99.99995 
阾	1	0.00053 	99.99995 
蟉	1	0.00053 	99.99995 
藰	1	0.00053 	99.99995 
餾	1	0.00053 	99.99995 
驑	1	0.00053 	99.99995 
翏	1	0.00053 	99.99995 
磟	1	0.00053 	99.99995 
嶐	1	0.00053 	99.99995 
巄	1	0.00053 	99.99995 
鏧	1	0.00053 	99.99995 
霳	1	0.00053 	99.99995 
曨	1	0.00053 	99.99995 
