d_	的
klwj_	𲐞
oslv_	𲐟
khfx_	𲐠
kqpf_	𲐡
ssns_	𲐢
zftp_	𲐣
kzvi;	𲐤
kjlr_	𲐥
kvdh_	𲐦
kvrh_	𲐧
kpjv_	𲐨
tpmh;	𲐩
ktmd_	𲐪
kkon;	𲐫
fkss;	𲐬
kdbm_	𲐭
eekn_	𲐮
kdq_	𲐯
kzsi4	𲐰
khgy_	𲐱
kgss_	𲐲
kqyd_	𲐳
kgnm;	𲐴
kqww;	𲐵
klst_	𲐶
kjyq_	𲐷
ksmd_	𲐸
kdqp_	𲐹
ktiw;	𲐺
krz_	𲐻
kvkf_	𲐼
kerl_	𲐽
kixi_	𲐾
kgxw_	𲐿
kaia;	𲑀
kiib_	𲑁
knib_	𲑁
kfor_	𲑂
kkjd_	𲑃
kjfl'	𲑄
ussg_	𲑅
kvxy_	𲑆
kmvb_	𲑇
kdwb_	𲑈
geyx_	𲑉
kdfi_	𲑊
kxuw_	𲑋
klil_	𲑌
kyit_	𲑍
kzel_	𲑎
ssss==3	𲑏
kofo_	𲑐
ktjd_	𲑑
kusf_	𲑒
ktsl_	𲑓
kxia_	𲑔
kybi_	𲑕
kozi_	𲑖
kvkl_	𲑗
kiro_	𲑘
kuso_	𲑙
kyio_	𲑚
kmss_	𲑛
kgbb_	𲑜
kwra;	𲑝
kiii_	𲑞
kejw_	𲑟
kykq_	𲑠
kgdb_	𲑡
tivw_	𲑢
ggfe;	𲑣
kwji_	𲑤
ktd_	𲑥
kquf_	𲑦
kdor_	𲑧
kqoj_	𲑨
zikj_	𲑩
ktis'	𲑪
kyin;	𲑫
sxjo_	𲑬
siks;	𲑭
allk'	𲑮
siau;	𲑯
ifai_	𲑰
slzc_	𲑱
sjrl;	𲑲
smvy_	𲑳
svkt'	𲑴
stsz_	𲑵
tzah;	𲑶
svuj4	𲑷
lauq_	𲑸
waba_	𲑹
fxix_	𲑺
xnhj_	𲑻
zysg_	𲑼
xcbm;	𲑽
vfuk_	𲑾
aivy_	𲑿
mvtn_	𲒀
msca_	𲒁
abgv_	𲒂
ioks4	𲒃
zsss=4	𲒄
ztiq'	𲒅
zuje;	𲒆
evyo'	𲒇
ebho'	𲒈
eldo_	𲒉
evza;	𲒊
lxuo_	𲒋
lmzf;	𲒌
lcjx;	𲒍
lzjt;	𲒎
ltos_	𲒏
luzo'	𲒐
ltpi5	𲒑
lsvl'	𲒒
lvxk_	𲒓
lixi'	𲒔
ljqk4	𲒕
ltnh;	𲒖
lqdd4	𲒗
lsht;	𲒘
lvz_	𲒙
lmsy_	𲒚
ebvk_	𲒛
ltni;	𲒜
luux_	𲒝
pksk4	𲒞
kpmb_	𲒟
eizv4	𲒠
ozci_	𲒡
izev_	𲒢
izyv'	𲒣
lkgk'	𲒤
skgk'	𲒥
czik_	𲒦
mkgc4	𲒧
ukgc=4	𲒨
kpoz;	𲒩
pokg;	𲒪
dtpk;	𲒫
skgk4	𲒬
zskg4	𲒭
njfk_	𲒮
irkg_	𲒯
zkvk_	𲒰
mnik_	𲒱
zekg_	𲒲
qjpk_	𲒳
hhhk_	𲒴
zvdl;	𲒵
tskg5	𲒶
lavk_	𲒷
uozk=1	𲒸
hkzk_	𲒹
tfzk_	𲒺
wznk_	𲒻
zmmk_	𲒼
tomk_	𲒽
okkg_	𲒾
xjkg;	𲒿
wxvk_	𲓀
zvdq_	𲓁
lhau_	𲓂
tiau;	𲓃
nssa;	𲓄
jrau_	𲓅
ysau_	𲓆
foja_	𲓇
ralh_	𲓈
jvra_	𲓉
alqr;	𲓊
clva_	𲓋
vgna_	𲓌
bita;	𲓍
weal_	𲓎
lala'	𲓏
zqsa_	𲓐
svlf'	𲓑
sbfl_	𲓒
sopm_	𲓓
hrjb_	𲓔
sbtj_	𲓕
sbtj;	𲓖
sbwj_	𲓗
emad_	𲓘
tuod;	𲓙
ceah_	𲓚
egsy_	𲓛
gzvp;	𲓜
gvyo5	𲓝
oglk'	𲓞
fahp5	𲓟
gcao;	𲓠
hvkg'	𲓡
vkhc_	𲓢
dfdh5	𲓣
gbbm'	𲓤
leeg_	𲓥
getn_	𲓦
ddsk=1	𲓧
pmgl'	𲓨
bdgl'	𲓩
bvgl_	𲓪
gzig;	𲓫
dtpo'	𲓬
gjgd'	𲓭
dieh_	𲓮
gzid;	𲓯
bbdb;	𲓰
uwjk;	𲓱
fxwj_	𲓲
zswj_	𲓳
qwjk'	𲓴
dwjk'	𲓵
aiwj;	𲓶
hlwj;	𲓷
hogw_	𲓸
szww;	𲓹
ocjf;	𲓺
oxor_	𲓻
okog_	𲓼
oyyy_	𲓽
fiol;	𲓾
nioy_	𲓿
okkt;	𲔀
ogmm_	𲔁
nnnr'	𲔂
nijr_	𲔃
bnvl_	𲔄
cbwi_	𲔅
vhwi;	𲔆
wwwr=1	𲔇
kpvw_	𲔈
tewb_	𲔉
trow4	𲔊
owrj;	𲔋
wwjb_	𲔌
isnp_	𲔍
imff_	𲔎
ioto;	𲔏
iosi4	𲔐
rihs;	𲔑
ipos_	𲔒
izue_	𲔓
ciqf;	𲔔
wihs_	𲔕
isff_	𲔖
mihs;	𲔗
bihs_	𲔘
ifki_	𲔙
inau_	𲔚
iuau_	𲔛
ijpv;	𲔜
ipiq;	𲔝
hihs_	𲔞
bhiq'	𲔟
ibhe;	𲔠
jihs_	𲔡
wihs;	𲔢
ifus4	𲔣
izok_	𲔤
oihs'	𲔥
isaj;	𲔦
wihs'	𲔧
dihs4	𲔨
iles_	𲔩
ildf'	𲔪
irau_	𲔫
eeih_	𲔬
ipfb_	𲔭
ipto_	𲔮
iytj_	𲔯
ifho;	𲔰
nhih_	𲔱
ijsm_	𲔲
imlr_	𲔳
ihaj_	𲔴
ihqi_	𲔵
liai_	𲔶
ilia_	𲔷
imhg;	𲔸
iqyd_	𲔹
toiq_	𲔺
igci'	𲔻
mfih_	𲔼
ibof_	𲔽
igaa_	𲔾
ipsd_	𲔿
ibsl_	𲕀
ifgb_	𲕁
jsbi_	𲕂
iizj_	𲕃
ijmd'	𲕄
iswh_	𲕅
xxih_	𲕆
sizj_	𲕇
ksch_	𲕈
cih_	𲕉
cjih_	𲕊
iofd;	𲕋
ijog;	𲕌
ifmx;	𲕍
ihmh_	𲕎
igkl_	𲕏
inni_	𲕐
iyu_	𲕑
iiwi;	𲕒
imsl;	𲕓
inmh'	𲕔
iuyw_	𲕕
iwaj5	𲕖
jiih_	𲕗
fhoh_	𲕘
psih_	𲕙
iqos_	𲕚
iafm_	𲕛
iqak_	𲕜
qgwh4	𲕝
qppt;	𲕞
rsfh_	𲕟
ijki_	𲕠
ijjx_	𲕡
isng;	𲕢
igvk_	𲕣
iwhw_	𲕤
iwsw_	𲕥
kzih_	𲕦
icif_	𲕧
iogg;	𲕨
ivnf_	𲕩
imjf_	𲕪
ihla_	𲕫
inti;	𲕬
idoz_	𲕭
ihzi_	𲕮
ihfu_	𲕯
ajih_	𲕰
ibgn_	𲕱
ipnf_	𲕲
iigc_	𲕳
idci_	𲕴
ilqi_	𲕵
ikgv_	𲕶
ixfs;	𲕷
ivxl_	𲕸
yyei'	𲕹
imcl;	𲕺
inva_	𲕻
ihos_	𲕼
iaiz_	𲕽
pfis'	𲕾
ipvw_	𲕿
ipvh_	𲖀
iqzb_	𲖁
iajz_	𲖂
ipyb_	𲖃
ipmv_	𲖄
iqqb_	𲖅
iwew;	𲖆
rkoe_	𲖇
iqtn'	𲖈
ikhi_	𲖉
itx_	𲖊
ilyb_	𲖋
izni_	𲖌
izkl'	𲖍
iibk_	𲖎
ixtp_	𲖏
yobh;	𲖐
imlt'	𲖑
iwou_	𲖒
imze_	𲖓
ihru;	𲖔
iyal_	𲖕
uvih_	𲖖
imdl_	𲖗
itbb_	𲖘
iphd_	𲖙
ijbw;	𲖚
ivfp'	𲖛
ipiq'	𲖜
ipqh_	𲖝
iwug_	𲖞
iwyi_	𲖟
ignn;	𲖠
iwjm_	𲖡
izku_	𲖢
ioow_	𲖣
ijwv_	𲖤
ikym_	𲖥
ikxa_	𲖦
lqij_	𲖧
imzj_	𲖨
ihaf_	𲖩
iyvo=2	𲖪
imhl'	𲖫
iaii;	𲖬
imrj;	𲖭
ihco;	𲖮
iaaj;	𲖯
deuh_	𲖰
frjh_	𲖱
ibje_	𲖲
ifil;	𲖳
ipwv_	𲖴
ibtz_	𲖵
pdki_	𲖶
iwxb_	𲖷
rfcj_	𲖸
iwen_	𲖹
tbxq_	𲖺
ivot_	𲖻
ikiy_	𲖼
ikzi_	𲖽
ikhw_	𲖾
yisv;	𲖿
mlgh_	𲗀
ixei_	𲗁
inli_	𲗂
itgl'	𲗃
iwwr_	𲗄
ithb_	𲗅
imwv_	𲗆
iggb_	𲗇
izzf_	𲗈
ijqp;	𲗉
iwsi'	𲗊
iyrj_	𲗋
iqtw_	𲗌
iuii;	𲗍
isax_	𲗎
sisi;	𲗏
iqpg'	𲗐
iwhg_	𲗑
ihev_	𲗒
imne_	𲗓
imug_	𲗔
ipwn_	𲗕
iycl_	𲗖
iytl_	𲗗
iaqd_	𲗘
ibvy_	𲗙
itcv_	𲗚
ifzb_	𲗛
izxf_	𲗜
qary'	𲗝
idfw;	𲗞
iwjj_	𲗟
iwon_	𲗠
ivyl_	𲗡
wooq5	𲗢
iexo;	𲗣
iolj_	𲗤
imsa_	𲗥
imdn_	𲗦
ihqh_	𲗧
hinj_	𲗨
ipr_	𲗩
iewv'	𲗪
igje_	𲗫
ipia_	𲗬
iqdq_	𲗭
hiwx_	𲗮
iwvy;	𲗯
idyp_	𲗰
iwuf;	𲗱
iwyg'	𲗲
vviq_	𲗳
izdb_	𲗴
ilyj_	𲗵
mjih_	𲗶
iyyn_	𲗷
imwi;	𲗸
imix_	𲗹
imwf_	𲗺
irbm_	𲗻
inir_	𲗼
ifkb_	𲗽
iojb_	𲗾
igji;	𲗿
igsz_	𲘀
iahv_	𲘁
iqv_	𲘂
ilww_	𲘃
gbih_	𲘄
imsv_	𲘅
imll_	𲘆
iomg_	𲘇
iyub_	𲘈
ijbt_	𲘉
issb;	𲘊
ijow_	𲘋
iwsr_	𲘌
itvy_	𲘍
igrj_	𲘎
wzfi'	𲘏
imyi5	𲘐
iwww'	𲘑
iqdu'	𲘒
iwzx;	𲘓
iwos_	𲘔
itrk_	𲘕
yhvh'	𲘖
imww_	𲘗
imho_	𲘘
iwtg_	𲘙
iwdb_	𲘚
itis;	𲘛
igqn_	𲘜
imht_	𲘝
ijgj4	𲘞
ccvf_	𲘟
uuep4	𲘠
usbo_	𲘡
ulah_	𲘢
uuyv;	𲘣
ugwh4	𲘤
uwxc;	𲘥
umvy'	𲘦
uwsn_	𲘧
uuyd_	𲘨
uuyn;	𲘩
udjk_	𲘪
ujfd;	𲘫
uyhf_	𲘬
uxje'	𲘭
uiis'	𲘮
suii4	𲘯
bkgk'	𲘰
bfkg;	𲘱
bfpf_	𲘲
bxuo;	𲘳
bowj_	𲘴
bxko_	𲘵
cbmf5	𲘶
bpbm_	𲘷
bolr_	𲘸
bgiq_	𲘹
beuw;	𲘺
bwlf;	𲘻
lhbm;	𲘼
bknd_	𲘽
hwbm4	𲘾
hebm'	𲘿
bvbm;	𲙀
bwnv;	𲙁
bfwk_	𲙂
bwfu;	𲙃
cqb_	𲙄
bvlf;	𲙅
byoy_	𲙆
cbhe_	𲙇
breu_	𲙈
bqno;	𲙉
buhg_	𲙊
bnes_	𲙋
bpjv;	𲙌
bhra_	𲙍
bkon_	𲙎
byoz_	𲙏
ssbm'	𲙐
bavn_	𲙑
bxdd_	𲙒
bbfs_	𲙓
bqwi_	𲙔
bpk_	𲙕
bayp_	𲙖
dfob'	𲙗
bjfl_	𲙘
birh_	𲙙
zibm_	𲙚
kqkb_	𲙛
bjem_	𲙜
bgkl_	𲙝
bwlt;	𲙞
bgwd_	𲙟
bxbb_	𲙠
bfif_	𲙡
bjdj;	𲙢
biru;	𲙣
bjoq_	𲙤
bjdh'	𲙥
ljbm_	𲙦
bzyv_	𲙧
btps_	𲙨
hqbm'	𲙩
beqy_	𲙪
bfoj_	𲙫
bdjz_	𲙬
ssbo_	𲙭
btgl_	𲙮
bzqj_	𲙯
bvxm_	𲙰
bshv_	𲙱
bryr_	𲙲
bobi_	𲙳
bdds_	𲙴
bdq_	𲙵
jmcb;	𲙶
byus;	𲙷
bsic_	𲙸
szrb_	𲙹
bhda_	𲙺
bewu_	𲙻
mpob_	𲙼
bmlk_	𲙽
byal_	𲙾
bvsg'	𲙿
tjcb;	𲚀
btrw_	𲚁
bejs;	𲚂
brjt_	𲚃
baii_	𲚄
bxry;	𲚅
buiw_	𲚆
bamd;	𲚇
beje_	𲚈
befs'	𲚉
bwhd_	𲚊
bouc_	𲚋
ktbm_	𲚌
boxz_	𲚍
gzib'	𲚎
blhq;	𲚏
bvz_	𲚐
tbxb_	𲚑
bcup;	𲚒
hodb5	𲚓
bun_	𲚔
bxvl_	𲚕
vzbm'	𲚖
bgdq_	𲚗
bze_	𲚘
bzgi_	𲚙
bgeb_	𲚚
hudb;	𲚛
mzsb;	𲚜
tgbm_	𲚝
bczd_	𲚞
bxiy_	𲚟
uvkb_	𲚠
bzvw_	𲚡
ezib'	𲚢
uyhb_	𲚣
brb_	𲚤
ssbb5	𲚥
byyn;	𲚦
bebu_	𲚧
hbbb4	𲚨
yhvb_	𲚩
bzrm_	𲚪
byia_	𲚫
ykmf_	𲚬
mpnc_	𲚭
bvjq;	𲚮
jppv;	𲚯
xrpv'	𲚰
vxuo_	𲚱
xewp'	𲚲
zoxu_	𲚳
xxgc_	𲚴
xxew_	𲚵
xxeu;	𲚶
xxgm;	𲚷
mvpx'	𲚸
xxsn'	𲚹
xxud_	𲚺
xxto_	𲚻
spvp'	𲚼
xjef5	𲚽
xtef;	𲚾
fxaf_	𲚿
xzss5	𲛀
xwfu_	𲛁
abxi_	𲛂
svoq;	𲛃
xjbl5	𲛄
zzxi;	𲛅
xolq_	𲛆
jssx_	𲛇
xzyp_	𲛈
woox'	𲛉
spah;	𲛊
pusm;	𲛋
siau'	𲛌
sowi_	𲛍
sytj;	𲛎
srau_	𲛏
kons_	𲛐
eqsm_	𲛑
siie;	𲛒
sirh_	𲛓
xsmf'	𲛔
skp_	𲛕
stew_	𲛖
shnh_	𲛗
shmh_	𲛘
sfmx_	𲛙
swsp_	𲛚
smiz;	𲛛
sfif_	𲛜
sodn_	𲛝
sqlz_	𲛞
seqy_	𲛟
sedz_	𲛠
shvp_	𲛡
sees_	𲛢
ggsm4	𲛣
sftp_	𲛤
suso_	𲛥
lfse_	𲛦
nmhs;	𲛧
sqws;	𲛨
sqfw_	𲛩
shwv'	𲛪
swua_	𲛫
saiq'	𲛬
shdw_	𲛭
jups5	𲛮
sdwv'	𲛯
sdng5	𲛰
sdwd_	𲛱
satn;	𲛲
srzj;	𲛳
kzis_	𲛴
srkk_	𲛵
sajw_	𲛶
shiy_	𲛷
swcs_	𲛸
lqsa;	𲛹
soqq_	𲛺
sass5	𲛻
yvic;	𲛼
ydfu_	𲛽
yoor_	𲛾
ysau;	𲛿
yybk'	𲜀
yenf_	𲜁
gkyh_	𲜂
tygn_	𲜃
tyko_	𲜄
ymxg5	𲜅
yqwa;	𲜆
yqmz_	𲜇
ydjw_	𲜈
egck_	𲜉
ebl_	𲜊
efkc_	𲜋
ezxi'	𲜌
elwh_	𲜍
eueu_	𲜎
eqng'	𲜏
eufi_	𲜐
eley_	𲜑
edzs_	𲜒
elel_	𲜓
evin_	𲜔
ecbb_	𲜕
ejji_	𲜖
ecln4	𲜗
ecup_	𲜘
erwy_	𲜙
erer;	𲜚
ezik;	𲜛
ezxt_	𲜜
eyqq_	𲜝
gwes4	𲜞
rjep_	𲜟
ylwo'	𲜠
eral;	𲜡
biil_	𲜢
vclw_	𲜣
telw4	𲜤
eral'	𲜥
snij_	𲜦
blol_	𲜧
eock'	𲜨
cock'	𲜩
opoz_	𲜪
pizo;	𲜫
ope_	𲜬
ocpz_	𲜭
ussc_	𲜮
bpwo_	𲜯
agco;	𲜰
rodn4	𲜱
mjgj=2	𲜲
mrah'	𲜳
moqn_	𲜴
mzjk'	𲜵
muvk4	𲜶
mpah'	𲜷
mllo_	𲜸
mizx_	𲜹
moqq;	𲜺
mfjz'	𲜻
mhp_	𲜼
zvdo_	𲜽
mibk_	𲜾
mezs_	𲜿
mqml;	𲝀
bvmo;	𲝁
molj_	𲝂
dvyo;	𲝃
drp_	𲝄
dosi;	𲝅
dcio4	𲝆
dldo;	𲝇
dswj'	𲝈
dcmf;	𲝉
difp5	𲝊
dqjo'	𲝋
djzf4	𲝌
ddsk=2	𲝍
dohg_	𲝎
dgsi_	𲝏
demo4	𲝐
dhje_	𲝑
dqgf'	𲝒
dbhe_	𲝓
fwkd_	𲝔
dsjp4	𲝕
dox_	𲝖
dkcm_	𲝗
dkle_	𲝘
dknw_	𲝙
syds_	𲝚
dbyv;	𲝛
dtau_	𲝜
dnql;	𲝝
dtra_	𲝞
dfus_	𲝟
dagi;	𲝠
dsio5	𲝡
dxgw4	𲝢
dpk_	𲝣
daea_	𲝤
dzvx_	𲝥
djnw_	𲝦
dsbn;	𲝧
dgqo_	𲝨
dyyv5	𲝩
mmds_	𲝪
dekf4	𲝫
dtzj;	𲝬
dqji_	𲝭
dwgi_	𲝮
iziz;	𲝯
dric;	𲝰
dttp_	𲝱
dvf_	𲝲
dabb_	𲝳
dzoz;	𲝴
denf_	𲝵
dmva_	𲝶
ddsy_	𲝷
dsxv;	𲝸
djyw;	𲝹
dsxv'	𲝺
ddna_	𲝻
dvdd;	𲝼
dkka_	𲝽
dvwf;	𲝾
dmyq_	𲝿
dttp;	𲞀
dtpd_	𲞁
dquc_	𲞂
dsnc_	𲞃
dxpc_	𲞄
dzkh;	𲞅
dvei;	𲞆
dbii_	𲞇
daad;	𲞈
dqwm;	𲞉
dzns_	𲞊
dvkl;	𲞋
dwep_	𲞌
dlqa_	𲞍
drzj_	𲞎
uikd;	𲞏
qqqd_	𲞐
dygi;	𲞑
dfhd_	𲞒
dyyo;	𲞓
dmzi_	𲞔
dmvj;	𲞕
dtji_	𲞖
dqpw_	𲞗
dwzv_	𲞘
dwzv;	𲞙
dfmc'	𲞚
jneu;	𲞛
jozu_	𲞜
ssnv;	𲞝
gngc_	𲞞
ndyf_	𲞟
nznv'	𲞠
eewi;	𲞡
bvje_	𲞢
eehi_	𲞣
wnie;	𲞤
eepz_	𲞥
eeb_	𲞦
nyrj_	𲞧
ekqo_	𲞨
eeew_	𲞩
etcy;	𲞪
ewkb_	𲞫
jrez_	𲞬
urah'	𲞭
urew'	𲞮
utkf;	𲞯
uofy;	𲞰
gumo_	𲞱
uljj_	𲞲
jblu_	𲞳
ugbo'	𲞴
udna_	𲞵
mcju;	𲞶
uevg_	𲞷
ufvh_	𲞸
olvy_	𲞹
lfwh4	𲞺
ltpo5	𲞻
vwm_	𲞼
lvmm_	𲞽
bjua_	𲞾
shbs_	𲞿
gsvo'	𲟀
gxkf_	𲟁
gnwj=1	𲟂
gjxo_	𲟃
gqmf=1	𲟄
giew4	𲟅
gjtk'	𲟆
gzyd;	𲟇
gmcy_	𲟈
gxvp4	𲟉
geen_	𲟊
gyic'	𲟋
gzxi=1	𲟌
ghfp=1	𲟍
gbgv_	𲟎
gmmr_	𲟏
gcuy_	𲟐
gwcq_	𲟑
gdvo_	𲟒
mvvo'	𲟓
eirv;	𲟔
wvvv_	𲟕
asfv_	𲟖
ggwh;	𲟗
ocps_	𲟘
uyoz_	𲟙
tfoj'	𲟚
sljx_	𲟛
sywo_	𲟜
czbl_	𲟝
dnbl_	𲟞
qpbl;	𲟟
jcln=5	𲟠
jpdo4	𲟡
jqlk4	𲟢
jvwh4	𲟣
jyiq;	𲟤
jjbl;	𲟥
jkol;	𲟦
jcup4	𲟧
jdng'	𲟨
juic'	𲟩
jgyo;	𲟪
jhdf_	𲟫
jemv_	𲟬
jojl_	𲟭
jvtt;	𲟮
jphr_	𲟯
jjfl'	𲟰
nbz_	𲟱
ongo=2	𲟲
nyvo;	𲟳
okng;	𲟴
fyng_	𲟵
nios_	𲟶
nky_	𲟷
gkyn_	𲟸
nuak;	𲟹
cjng_	𲟺
lang_	𲟻
nknw_	𲟼
cbng5	𲟽
neyd_	𲟾
vhn_	𲟿
shng_	𲠀
iakn_	𲠁
nitp_	𲠂
cpin_	𲠃
nkro_	𲠄
nhgi;	𲠅
ndo_	𲠆
mmng'	𲠇
nduw_	𲠈
nofd_	𲠉
frn_	𲠊
edin_	𲠋
hing_	𲠌
sron_	𲠍
nofb_	𲠎
krsn;	𲠏
rsnk_	𲠐
nzaa_	𲠑
iown_	𲠒
nmcy_	𲠓
nudj_	𲠔
mifn_	𲠕
abjn_	𲠖
jfon_	𲠗
njsz_	𲠘
vsjn_	𲠙
mjng_	𲠚
nins_	𲠛
nufy_	𲠜
jvrn;	𲠝
nkpp_	𲠞
cneu;	𲠟
naah_	𲠠
nmtf_	𲠡
nqki_	𲠢
nyvh_	𲠣
xmrn_	𲠤
nzkh_	𲠥
nzxi'	𲠦
iknn_	𲠧
ugwn_	𲠨
nczp;	𲠩
nkxq_	𲠪
nbuv_	𲠫
hbng'	𲠬
ndfn_	𲠭
gzin_	𲠮
niib_	𲠯
njar_	𲠰
xsng;	𲠱
njmb_	𲠲
nqix_	𲠳
cjsn_	𲠴
nkhw_	𲠵
zvng_	𲠶
pmsn;	𲠷
vinw_	𲠸
nimn_	𲠹
navl_	𲠺
wddn_	𲠻
necj_	𲠼
xoon_	𲠽
xoon;	𲠾
sisn_	𲠿
name;	𲡀
kyin'	𲡁
msng4	𲡂
kpvn_	𲡃
tjsn_	𲡄
tena_	𲡅
jnin_	𲡆
mvsn_	𲡇
hwmn;	𲡈
sfnj;	𲡉
nssb4	𲡊
nurz_	𲡋
wrvn;	𲡌
nzml_	𲡍
givb_	𲡎
ludi_	𲡏
zoji;	𲡐
lgup;	𲡑
deie_	𲡒
lhri_	𲡓
iwmg;	𲡔
wzow;	𲡕
fokg_	𲡖
fjik_	𲡗
feuh_	𲡘
pjvk_	𲡙
poau_	𲡚
lkp_	𲡛
pjif_	𲡜
pdjo_	𲡝
puwp;	𲡞
yppc_	𲡟
pgwh4	𲡠
pofk;	𲡡
pcvf_	𲡢
pdhf_	𲡣
khp_	𲡤
phkg_	𲡥
tspc_	𲡦
upck;	𲡧
pxrp_	𲡨
pbhe_	𲡩
psjf_	𲡪
pxlt_	𲡫
vhp_	𲡬
ples;	𲡭
phnv_	𲡮
pmmz_	𲡯
bnep_	𲡰
pasm_	𲡱
pury;	𲡲
pify;	𲡳
pmlr_	𲡴
pbje_	𲡵
pbaj_	𲡶
pbfw_	𲡷
ptsk_	𲡸
pjog_	𲡹
pluk_	𲡺
hiwp_	𲡻
podn_	𲡼
pgea_	𲡽
pexs_	𲡾
pafi_	𲡿
pjuv_	𲢀
ptzb_	𲢁
pdjk_	𲢂
vsip_	𲢃
pgid_	𲢄
pvin;	𲢅
puyi_	𲢆
pzzj_	𲢇
poxj;	𲢈
pqiq;	𲢉
pjqp_	𲢊
pybn;	𲢋
pfvf_	𲢌
pssq_	𲢍
pues_	𲢎
pekt_	𲢏
phkl_	𲢐
pmds_	𲢑
hlqp_	𲢒
pjri_	𲢓
psot_	𲢔
pzic_	𲢕
fioz_	𲢖
pijr_	𲢗
pwhc_	𲢘
pwkz_	𲢙
pded_	𲢚
pwta'	𲢛
pzel_	𲢜
pojn_	𲢝
pvoo;	𲢞
pgxp_	𲢟
padd_	𲢠
phdn_	𲢡
pmdi_	𲢢
peuy_	𲢣
pkfo4	𲢤
pejs;	𲢥
pekv_	𲢦
pgge_	𲢧
abpo;	𲢨
pwjm_	𲢩
pzvf_	𲢪
peju_	𲢫
pkzs_	𲢬
puiw_	𲢭
pxry_	𲢮
pcyh_	𲢯
pppp_	𲢰
titp_	𲢱
pldy;	𲢲
plki_	𲢳
pyej_	𲢴
phzl_	𲢵
tvkp_	𲢶
gkhp_	𲢷
putp_	𲢸
pyxp_	𲢹
pual_	𲢺
powv_	𲢻
ptnp_	𲢼
ptej_	𲢽
pzjz_	𲢾
pqkp_	𲢿
pkhw_	𲣀
pchs_	𲣁
pgww_	𲣂
pogn;	𲣃
phfn_	𲣄
pizp;	𲣅
pduf_	𲣆
pwsi_	𲣇
pxor_	𲣈
pwyx_	𲣉
pwpy_	𲣊
pzeu_	𲣋
pttp_	𲣌
pzsy_	𲣍
pwry_	𲣎
powf_	𲣏
panb_	𲣐
pava_	𲣑
wbvp4	𲣒
povi;	𲣓
pzui_	𲣔
pdjl;	𲣕
pots_	𲣖
mspc_	𲣗
hvop_	𲣘
prkg_	𲣙
pmdy_	𲣚
prjs_	𲣛
pwbv_	𲣜
pitj_	𲣝
puaf_	𲣞
poff_	𲣟
pqvp_	𲣠
plww_	𲣡
pzvd_	𲣢
pebi_	𲣣
puff_	𲣤
pooo;	𲣥
pree_	𲣦
prwr_	𲣧
pmsf_	𲣨
pwrs_	𲣩
tnbh_	𲣪
bsbl'	𲣫
vnab_	𲣬
buof;	𲣭
kper_	𲣮
eyry_	𲣯
emsr_	𲣰
sise'	𲣱
irt_	𲣲
wgho'	𲣳
dwmo=1	𲣴
wdzp4	𲣵
wmol_	𲣶
wbyv'	𲣷
wpee_	𲣸
wawm_	𲣹
wmxg'	𲣺
wuyb;	𲣻
woow_	𲣼
qpfk5	𲣽
topf_	𲣾
gdpf_	𲣿
wozk;	𲤀
cmpo_	𲤁
dij_	𲤂
mlup_	𲤃
mkto'	𲤄
mlof_	𲤅
mlqb_	𲤆
myic;	𲤇
mldy5	𲤈
mwuy_	𲤉
mddu_	𲤊
miiu_	𲤋
ublc=3	𲤌
ujto;	𲤍
uujf_	𲤎
jbmf=3	𲤏
jvfp_	𲤐
jmoe;	𲤑
jfno'	𲤒
ctef_	𲤓
jdiq4	𲤔
jvrp_	𲤕
jooe'	𲤖
jemo5	𲤗
bjlw;	𲤘
jdnf;	𲤙
jjfg_	𲤚
jtr_	𲤛
jsbh;	𲤜
jhng_	𲤝
jzor4	𲤞
jdol;	𲤟
jzvx'	𲤠
jziq4	𲤡
jjem_	𲤢
jyiq'	𲤣
jijw_	𲤤
jdua;	𲤥
jeng_	𲤦
sbjk_	𲤧
jjbl'	𲤨
jsbs;	𲤩
doje_	𲤪
jgzi=1	𲤫
jzoh_	𲤬
jqky4	𲤭
jgkg;	𲤮
jwti;	𲤯
jmxx_	𲤰
sjmd'	𲤱
jvsy4	𲤲
jkjg;	𲤳
jklt4	𲤴
jxbm5	𲤵
jdzd_	𲤶
jlbk_	𲤷
jcio'	𲤸
jjsa4	𲤹
bbbj;	𲤺
jjvr_	𲤻
jklb_	𲤼
jjqw;	𲤽
jdup'	𲤾
jdng4	𲤿
jvei'	𲥀
jblz;	𲥁
jwsf_	𲥂
jxsl'	𲥃
jyps;	𲥄
jsuf;	𲥅
isjm_	𲥆
jhtu_	𲥇
jqwh'	𲥈
jhek_	𲥉
jyya=1	𲥊
jkdr_	𲥋
jwsp_	𲥌
jisp_	𲥍
jwzv;	𲥎
jnsf_	𲥏
jgio4	𲥐
rpvp5	𲥑
rnvf;	𲥒
jpco'	𲥓
tuoi_	𲥔
tovy_	𲥕
tuoh;	𲥖
mvyo4	𲥗
bmdf=1	𲥘
mvyd_	𲥙
mczi=4	𲥚
msgi_	𲥛
mzah;	𲥜
mwmx_	𲥝
mjfl;	𲥞
xmdf5	𲥟
mjfl'	𲥠
mlmv_	𲥡
mhlq_	𲥢
agmd;	𲥣
mvoq=1	𲥤
mbsi_	𲥥
mafy_	𲥦
yodm;	𲥧
myrj_	𲥨
mmew_	𲥩
xmga_	𲥪
mzzh;	𲥫
mwid;	𲥬
